_id,estStatusDesc,enfrID,inspID,infrTypeCD,postal,rowNo,addr,estName,infrAction,lon,servID,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,servTypeCD,inspDate,infrID,addrID,estID,servTypeDesc,estStatusCD
13157717,Pass,,21871650,8542,M1H,2516,1031 MARKHAM RD,DIANA BEAUTY CENTRE,Notice to Comply,-79.23050693,833339,,,Personal service setting - fail to collect and remove waste as often as necessary to maintain sanitary condition. Reg. Subsec. 8 (4),,Conditional,,43.77406766,7016,2019-10-17T00:00:00,2208386,2906489,4539635,Barbering & Hairdressing,PASS
13157718,Pass,,21892172,8578,M6A,2517,789 LAWRENCE AVE W,SASSI NAILZ,Notice to Comply,-79.45392968,557927,,,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.7138264,7017,2019-10-23T00:00:00,2208387,2907956,3644363,Nails,PASS
13157719,Pass,,21892172,8584,M6A,2518,789 LAWRENCE AVE W,SASSI NAILZ,Ticket,-79.45392968,557927,,,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.7138264,7017,2019-10-23T00:00:00,2208388,2907956,3644363,Nails,PASS
13157720,Pass,,21892188,8584,M6A,2519,3075 DUFFERIN ST,CENTURY NAILS,Ticket,-79.45445148,906345,,,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.71474845,7017,2019-10-23T00:00:00,2208389,3103236,4331482,Nails,PASS
13157721,Pass,,21892191,8564,M6N,2520,1828 ST CLAIR AVE W,CITYLOCK BARBERS,Notice to Comply,-79.4629703,916309,,UNIT-4,Personal service setting - fail to ensure sink capable of immersing largest piece of reusable equipment used at the setting. Reg. Clause 8 (3)(a),,Conditional,,43.67385952,7016,2019-10-24T00:00:00,2208390,3102288,4773684,Barbering & Hairdressing,PASS
13157722,Pass,,22304700,8578,M2R,2521,5997 BATHURST ST,RUFFLES HAIR DESIGN,Notice to Comply,-79.446106,555287,,,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.786648,7016,2019-10-29T00:00:00,2208393,2904651,3640233,Barbering & Hairdressing,PASS
13157723,Pass,,22304700,8573,M2R,2522,5997 BATHURST ST,RUFFLES HAIR DESIGN,Notice to Comply,-79.446106,555287,,,Personal service setting - fail to ensure disinfectants are used per manufacturer's instructions. Reg. Clause 11 (2)(b),,Conditional,,43.786648,7016,2019-10-29T00:00:00,2208392,2904651,3640233,Barbering & Hairdressing,PASS
13157724,Pass,,22304705,8571,M4K,2523,742 BROADVIEW AVE,JOHN'S HAIRSTYLING & BARBER SALON,Notice to Comply,-79.35856177,555636,,,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.67558598,7016,2019-10-22T00:00:00,2208395,2905430,3641093,Barbering & Hairdressing,PASS
13157725,Pass,,22304705,8556,M4K,2524,742 BROADVIEW AVE,JOHN'S HAIRSTYLING & BARBER SALON,Notice to Comply,-79.35856177,555636,,,Operator fail to ensure service provider cleans hands to kill transient microorganisms before and after providing personal service. Reg. Subsec. 12 (2),,Conditional,,43.67558598,7016,2019-10-22T00:00:00,2208394,2905430,3641093,Barbering & Hairdressing,PASS
13157726,Pass,123261,22304710,8571,M3K,2525,1074 WILSON AVE,MICHELLE LE NAILS,Ticket,-79.48052948,556712,"Fine Only, No Court",,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),305,Conditional,2017-07-12,43.72841256,7017,2019-11-13T00:00:00,2208396,2904877,3644145,Nails,PASS
13157727,Pass,,22304710,8578,M3K,2526,1074 WILSON AVE,MICHELLE LE NAILS,Notice to Comply,-79.48052948,556712,,,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.72841256,7017,2019-11-13T00:00:00,2208397,2904877,3644145,Nails,PASS
13157728,Pass,,22304710,8584,M3K,2527,1074 WILSON AVE,MICHELLE LE NAILS,Ticket,-79.48052948,556712,,,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.72841256,7017,2019-11-13T00:00:00,2208398,2904877,3644145,Nails,PASS
13157729,Pass,,22304714,8541,M1K,2528,8 GREYSTONE WALK DR,LILLY NAILS,Notice to Comply,-79.25321297,557216,,UNIT-C1B,Fail to ensure personal service setting equipped with waste receptacles appropriate for sanitary maintenance. Reg. Para. 8 of subsec. 8 (1),,Conditional,,43.72552443,7017,2019-10-29T00:00:00,2208399,2908222,3644896,Nails,PASS
13157730,Pass,,22304714,8578,M1K,2529,8 GREYSTONE WALK DR,LILLY NAILS,Notice to Comply,-79.25321297,557216,,UNIT-C1B,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.72552443,7017,2019-10-29T00:00:00,2208400,2908222,3644896,Nails,PASS
13157731,Pass,,22304715,8518,M1K,2530,8 GREYSTONE WALK DR,LILLY NAILS,Notice to Comply,-79.25321297,557217,,UNIT-C1B,Personal service setting - wall not in good repair. Reg. Para. 2 of subsec. 8 (1),,Conditional,,43.72552443,7018,2019-10-29T00:00:00,2208401,2908222,3644896,Aesthetics,PASS
13157732,Pass,,22304715,8584,M1K,2531,8 GREYSTONE WALK DR,LILLY NAILS,Notice to Comply,-79.25321297,557217,,UNIT-C1B,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.72552443,7018,2019-10-29T00:00:00,2208402,2908222,3644896,Aesthetics,PASS
13157733,Pass,2208404,22304720,8583,M6H,2532,900 DUFFERIN ST,NAILS FOR YOU,Ticket,-79.435234,557535,"Fine Only, No Court",UNIT-256,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),305,Conditional,2016-05-05,43.656017,7017,2019-10-29T00:00:00,2208403,2908497,3645339,Nails,PASS
13157734,Pass,2208622,22304720,8583,M6H,2533,900 DUFFERIN ST,NAILS FOR YOU,Ticket,-79.435234,557535,Pending,UNIT-256,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.656017,7017,2019-10-29T00:00:00,2208403,2908497,3645339,Nails,PASS
13157735,Pass,,22304720,8609,M6H,2534,900 DUFFERIN ST,NAILS FOR YOU,Notice to Comply,-79.435234,557535,,UNIT-256,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),,Conditional,,43.656017,7017,2019-10-29T00:00:00,2208405,2908497,3645339,Nails,PASS
